ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
697,Texas A&M,10453,Qadashah Hoppie,Graduate Student,"Staten Island, N.Y.",The Patrick School,St. Johns,"5'9""",Guard,2,https://www.12thman.com/sports/womens-basketball/roster/qadashah-hoppie/10453,2021-22
697,Texas A&M,9922,Destiny Pitts,Graduate Student,"Detroit, Mich.",Country Day,Minnesota,"5'10""",Guard,3,https://www.12thman.com/sports/womens-basketball/roster/destiny-pitts/9922,2021-22
697,Texas A&M,9914,Kay Kay Green,Sophomore,"Chicago, Ill.",Whitney Young,,"5'6""",Guard,4,https://www.12thman.com/sports/womens-basketball/roster/kay-kay-green/9914,2021-22
697,Texas A&M,9920,Jordan Nixon,Junior,"New York, N.Y.",The Mary Louis Academy,Notre Dame,"5'8""",Guard,5,https://www.12thman.com/sports/womens-basketball/roster/jordan-nixon/9920,2021-22
697,Texas A&M,9924,Kayla Wells,Graduate Student,"Dallas, Texas",South Grand Prairie,,"6'0""",Guard,11,https://www.12thman.com/sports/womens-basketball/roster/kayla-wells/9924,2021-22
697,Texas A&M,10456,Jada Malone,Freshman,"Spring, Texas",The Village School,,"6'3""",Forward,13,https://www.12thman.com/sports/womens-basketball/roster/jada-malone/10456,2021-22
697,Texas A&M,9917,Maliyah Johnson,Sophomore,"Chicago, Ill.",Summer Creek,,"6'3""",Forward,14,https://www.12thman.com/sports/womens-basketball/roster/maliyah-johnson/9917,2021-22
697,Texas A&M,10455,Eriny Kindred,Freshman,"Del Valle, Texas",Del Valle,,"5'10""",Guard,21,https://www.12thman.com/sports/womens-basketball/roster/eriny-kindred/10455,2021-22
697,Texas A&M,9921,Kenyal Perry,Sophomore,"New Orleans, La.",[Baton Rouge] McKinley,,"6'6""",Center,22,https://www.12thman.com/sports/womens-basketball/roster/kenyal-perry/9921,2021-22
697,Texas A&M,9915,McKinzie Green,Junior,"Manvel, Texas",Manvel,,"5'6""",Guard,23,https://www.12thman.com/sports/womens-basketball/roster/mckinzie-green/9915,2021-22
697,Texas A&M,9918,Sahara Jones,Sophomore,"San Antonio, Texas",Memorial,,"6'0""",Guard,24,https://www.12thman.com/sports/womens-basketball/roster/sahara-jones/9918,2021-22
697,Texas A&M,10454,Keslynn Oxendine,Freshman,"Stockbridge, Ga.",Eagle's Landing Christian Academy,,"5'8""",Guard,25,https://www.12thman.com/sports/womens-basketball/roster/keslynn-oxendine/10454,2021-22
697,Texas A&M,10452,Aaliyah Patty,Senior,"West Chester, Ill.",Montini Catholic,Ohio State,"6'3""",Forward,32,https://www.12thman.com/sports/womens-basketball/roster/aaliyah-patty/10452,2021-22
697,Texas A&M,10451,Sydnee Roby,Junior,"Milwaukee, Wis.",Rufus King,Miami,"6'3""",Center,44,https://www.12thman.com/sports/womens-basketball/roster/sydnee-roby/10451,2021-22
8,Alabama,7348,Ahriahna Grizzle,Junior,"Toronto, Canada",Bill Crothers Secondary School,,"5'9""",Guard,0,https://www.rolltide.com/sports/womens-basketball/roster/ahriahna-grizzle/7348,2021-22
8,Alabama,7343,Megan Abrams,Senior,"Lafayette, La.",Lafayette Christian Academy,,"5'9""",Guard,1,https://www.rolltide.com/sports/womens-basketball/roster/megan-abrams/7343,2021-22
8,Alabama,7354,JaMya Mingo-Young,Junior,"Bogalusa, La.",Loranger HS,Mississippi State,"5'8""",Guard,2,https://www.rolltide.com/sports/womens-basketball/roster/jamya-mingo-young/7354,2021-22
8,Alabama,8040,Loyal McQueen,Sophomore,"Florence, S.C.",Wilson HS,Georgia Tech,"5'8""",Guard,3,https://www.rolltide.com/sports/womens-basketball/roster/loyal-mcqueen/8040,2021-22
8,Alabama,7350,Taylor Sutton,Senior,"Atlanta, Ga.",Greater Atlanta Christian,Middle Tennessee,"5'4""",Guard,4,https://www.rolltide.com/sports/womens-basketball/roster/taylor-sutton/7350,2021-22
8,Alabama,7344,Hannah Barber,Senior,"Homewood, Ala.",Homewood HS,,"5'6""",Guard,5,https://www.rolltide.com/sports/womens-basketball/roster/hannah-barber/7344,2021-22
8,Alabama,7345,Allie Craig Cruce,Graduate Student,"Killen, Ala.",Lauderdale County HS,,"6'1""",Forward,12,https://www.rolltide.com/sports/womens-basketball/roster/allie-craig-cruce/7345,2021-22
8,Alabama,7347,Myra Gordon,Sophomore,"Fort Worth, Texas",L.D. Bell HS,,"6'0""",Guard,15,https://www.rolltide.com/sports/womens-basketball/roster/myra-gordon/7347,2021-22
8,Alabama,7346,Brittany Davis,Senior,"Manchester, Ga.",Greenville HS,Gulf Coast State College,"5'9""",Guard,23,https://www.rolltide.com/sports/womens-basketball/roster/brittany-davis/7346,2021-22
8,Alabama,7356,Jada Rice,Graduate Student,"Suwanee, Ga.",Collins Hill HS,NC State,"6'4""",Center,31,https://www.rolltide.com/sports/womens-basketball/roster/jada-rice/7356,2021-22
8,Alabama,7355,Khyla Wade-Warren,Sophomore,"Selmer, Tenn.",McNairy Central HS,Texas Tech,"6'2""",Forward,33,https://www.rolltide.com/sports/womens-basketball/roster/khyla-wade-warren/7355,2021-22
